id,school_name,longitude,latitude
100000,Balayong Elementary School,120.3411041,15.9479345
100001,Apaleng–Libtong Elementary School,120.6143722,18.2668598
100002,Bacarra Central Elementary School,120.6094874,18.2512723
100003,Buyon Elementary School,120.61605,18.23467
100004,Ganagan Elementary School,120.5874148,18.2501214
100005,Macupit Elementary School,120.64101,18.29419
100006,Nambaran Elementary School,120.646128,18.2664934
100007,Pasiocan Elementary School,120.6083801,18.2344913
100008,Pulangi Elementary School,120.62723,18.27013
100009,Sabas–Sagisi Memorial Elementary School,120.5932045,18.2444217
100010,Special Education Center,120.6114094,18.2518338
100011,Santo Cristo Elementary School,120.61996,18.24998
100012,Tambidao Elementary School,120.6325326,18.2579065
100013,Bangsirit Elementary School,120.6033138,18.2755383
100014,Cabaruan Elementary School,120.5961425,18.2588174
100016,Cadaratan Elementary School,120.59928,18.29061
100017,Calioet Elementary School,120.5854067,18.2861629
100018,Casilian Elementary School,120.5725533,18.2683537
100019,Paninaan Elementary School,120.6576921,18.2849876
100020,Parang Elementary School,120.6130037,18.2793212
100021,Pungto Elementary School,120.60779,18.29039
100022,San Agustin Elementary School,120.6056915,18.2561737
100024,Ar–Arusip Elementary School,120.5120538,17.9112203
100025,Badoc North Central School,120.475951,17.9311716
100026,Badoc South Central School SPED Center,120.4749531,17.9264454
100027,Camanga Elementary School,120.57094,17.90762
100029,Gabut Elementary School,120.4742748,17.9652477
100030,Labut Elementary School,120.5123516,17.8956728
100031,Lasien School,120.557838,17.8836914
100032,Mabusag–Napu Elementary School,120.4921,17.9388
100033,Madupayas Elementary School,120.54787,17.90625
100034,Morong Elementary School,120.4554355,17.9142871
100035,Nagrebcan Elementary School,120.5240287,17.9096452
100036,Pagsanahan Elementary School,120.4398161,17.9175029
100037,Paltit Elementary School,120.48569,17.91369
100038,Pasuc–Parang Elementary School,120.4983484,17.9258315
100039,Saud Elementary School,120.456113,17.929628
100040,Sta. Cruz Elementary School,120.46725,17.90684
100041,Turod Elementary School,120.5033,17.8892
100042,Virgen Milagrosa Elementary School,120.4421012,17.9044904
100043,Abaca Elementary School,120.7561533,18.5320258
100044,Alao–Ao Elementary School,120.719834,18.486948
100045,Bacsil Elementary School,120.7719369,18.5295878
100046,Banban Elementary School,120.7272451,18.5115643
100047,Bangui Central Elementary School,120.7635985,18.5384814
100048,Baruyen Elementary School,120.7077,18.51688
100049,Dadaor Elementary School,120.7122941,18.5080577
100050,Dumalneg Elementary School,120.806367,18.523045
100051,Lanao Elementary School,120.796,18.5262
100052,Masikil Elementary School,120.7443645,18.5216968
100053,Nagbalagan Elementary School,120.7793,18.53299
100054,Paddagan Elementary School,120.7527975,18.4763711
100055,San Isidro Elementary School,120.828311,18.52891
100056,Suyo Elementary School,120.6868069,18.5256683
100057,Taguipuro Elementary School,120.7106471,18.522801
100058,Bangsar Elementary School,120.6423208,17.9539945
100059,Banna Central Elementary School,120.6550361,17.9815051
100060,Barbarangay Elementary School,120.6361677,18.0153056
100061,Bomitog Elementary School,120.6154087,17.9441063
100062,Bugasi Elementary School,120.692236,17.988397
100063,Caestebanan Elementary School,120.699,17.96086
100064,Caribquib Elementary School,120.6674055,18.0020927
100065,Catagtaguen Elementary School,120.6600892,17.9647058
100066,Crispina Elementary School,120.6579709,17.9996173
100067,Imelda Elementary School,120.639358,17.939056
100068,Lading Elementary School,120.686095,17.949212
100069,Macayepyep Elementary School,120.658518,17.940589
100070,Nagpatayan Elementary School,120.638741,17.966674
100071,Quiaoit Memorial Elementary School,120.6360814,17.922723
100072,Sinamar Elementary School,120.685513,17.97175
100073,Tabtabagan Elementary School,120.6766508,17.9960998
100074,Valdez Elementary School,120.709277,17.965309
